ა	ანი	1	ɑ	A a	A a	А а	Mkhedruli a.svg	Nuskhuri a.svg	Asomtavruli a.svg
ბ	ბანი	2	b	B b	B b	Б б	Mkhedruli b.svg	Nuskhuri b.svg	Asomtavruli b.svg
გ	განი	3	g	G g	G g	Г г	Mkhedruli g.svg	Nuskhuri g.svg	Asomtavruli g.svg
დ	დონი	4	d	D d	D d	Д д	Mkhedruli d.svg	Nuskhuri d.svg	Asomtavruli d.svg
ე	ენი	5	ɛ	E e	E e	Е е	Mkhedruli e.svg	Nuskhuri e.svg	Asomtavruli e.svg
ვ	ვინი	6	v	V v	V v	В в	Mkhedruli v.svg	Nuskhuri v.svg	Asomtavruli v.svg
ზ	ზენი	7	z	Z z	Z z	З з	Mkhedruli z.svg	Nuskhuri z.svg	Asomtavruli z.svg
ჱ	ჰე	8	ɛj	—	—	—	Mkhedruli he.svg	Nuskhuri he.svg	Asomtavruli he.svg
თ	თანი	9	tʰ	T' t'	T t	Ҭ ҭ	Mkhedruli t.svg	Nuskhuri t.svg	Asomtavruli t.svg
ი	ინი	10	ɪ	I i	I i	И и	Mkhedruli i.svg	Nuskhuri i.svg	Asomtavruli i.svg
კ	კანი	20	kʼ	K k	Kʼ kʼ	К к	Mkhedruli k'.svg	Nuskhuri k'.svg	Asomtavruli k'.svg
ლ	ლასი	30	l	L l	L l	Л л	Mkhedruli l.svg	Nuskhuri l.svg	Asomtavruli l.svg
მ	მანი	40	m	M m	M m	М м	Mkhedruli m.svg	Nuskhuri m.svg	Asomtavruli m.svg
ნ	ნარი	50	n	N n	N n	Н н	Mkhedruli n.svg	Nuskhuri n.svg	Asomtavruli n.svg
ჲ	ჲე	60	j	—	—	Й й	Mkhedruli ie.svg	Nuskhuri ie.svg	Asomtavruli ie.svg
ო	ონი	70	ɔ	O o	O o	О о	Mkhedruli o.png	Nuskhuri o.svg	Asomtavruli o.svg
პ	პარი	80	pʼ	P p	Pʼ pʼ	П п	Mkhedruli p'.png	Nuskhuri p'.svg	Asomtavruli p'.svg
ჟ	ჟანი	90	ʒ	Ž ž	Zh zh	Ж ж	Mkhedruli zh.svg	Nuskhuri zh.svg	Asomtavruli zh.svg
რ	რაე	100	r	R r	R r	Р р	Mkhedruli r.svg	Nuskhuri r.svg	Asomtavruli r.svg
ს	სანი	200	s	S s	S s	С с	Mkhedruli s.svg	Nuskhuri s.svg	Asomtavruli s.svg
ტ	ტარი	300	tʼ	T t	Tʼ tʼ	Т т	Mkhedruli t'.svg	Nuskhuri t'.svg	Asomtavruli t'.svg
ჳ	ვიე	400	wi	—	—	—	Mkhedruli vie.svg	Nuskhuri vie.svg	Asomtavruli vie.svg
უ	უნი	—	u	U u	U u	У у	Mkhedruli u.png	Nuskhuri u.svg	Asomtavruli u.svg
ფ	ფარი	500	pʰ	P' p'	P p	Ҧ ҧ	Mkhedruli p.svg	Nuskhuri p.svg	Asomtavruli p.svg
ქ	ქანი	600	kʰ	K' k'	K k	Қ қ	Mkhedruli k.svg	Nuskhuri k.svg	Asomtavruli k.svg
ღ	ღანი	700	ɣ	Ḡ ḡ	Gh gh	Ҕ ҕ (Г' г')	Mkhedruli gh.svg	Nuskhuri gh.svg	Asomtavruli gh.svg
ყ	ყარი	800	qʼ	Q q	Qʼ qʼ	Ҟ ҟ	Mkhedruli q'.svg	Nuskhuri q'.svg	Asomtavruli q'.svg
შ	შინი	900	ʃ	Š š	Sh sh	Ш ш	Mkhedruli sh.svg	Nuskhuri sh.svg	Asomtavruli sh.svg
ჩ	ჩინი	1000	tʃ	Č' č'	Ch ch	Ч ч	Mkhedruli ch.svg	Nuskhuri ch.svg	Asomtavruli ch.svg
ც	ცანი	2000	ts	C' c'	Ts ts	Ц ц	Mkhedruli ts.svg	Nuskhuri ts.svg	Asomtavruli ts.svg
ძ	ძილი	3000	dz	J j	Dz dz	Ӡ ӡ	Mkhedruli dz.svg	Nuskhuri dz.svg	Asomtavruli dz.svg
წ	წილი	4000	tsʼ	C c	Tsʼ tsʼ	Ҵ ҵ	Mkhedruli ts'.svg	Nuskhuri ts'.svg	Asomtavruli ts'.svg
ჭ	ჭარი	5000	tʃʼ	Č č	Chʼ chʼ	Ҷ ҷ	Mkhedruli ch'.svg	Nuskhuri ch'.svg	Asomtavruli ch'.svg
ხ	ხანი	6000	x	X x	Kh kh	Х х	Mkhedruli kh.svg	Nuskhuri kh.svg	Asomtavruli kh.svg
ჴ	ჴარ	7000	q	—	—	—	Mkhedruli hari.svg	Nuskhuri hari.svg	Asomtavruli hari.svg
ჯ	ჯანი	8000	dʒ	J̌ ǰ	J j	Џ џ	Mkhedruli j.svg	Nuskhuri j.svg	Asomtavruli j.svg
ჰ	ჰაე	9000	h	H h	H h	Ҳ ҳ	Mkhedruli h.svg	Nuskhuri h.svg	Asomtavruli h.svg
ჵ	ჰოე	10000	hɔɛ	—	—	—	Mkhedruli hoe.svg	—	Asomtavruli hoe.svg
